"","acti2","dianoc","epoch","sum","mean","sd","d1","d9","q1","q2","q3"
"45","S","Noche","05 30-45",1423,12.4824561403509,43.4908661870696,0,27.1,0,0,0
"46","S","Noche","05 45-60",1149,9.575,40.0373066572884,0,6.2000000000001,0,0,0
"47","S","Noche","06 0-15",1232,10.2666666666667,52.9738691462587,0,2.20000000000002,0,0,0
"48","S","Noche","06 15-30",1266,11.2035398230088,44.0049021806571,0,1.8,0,0,0
"49","S","Noche","06 30-45",320,3.04761904761905,15.7726521795339,0,0,0,0,0
"50","S","Noche","06 45-60",1150,10.952380952381,63.4488559865923,0,0,0,0,0
"51","S","Noche","07 0-15",1528,14.552380952381,45.8091737857211,0,53.4000000000003,0,0,0
"52","S","Noche","07 15-30",679,6.52884615384615,25.7138686960151,0,1,0,0,0
"53","S","Noche","07 30-45",1085,13.3950617283951,45.0509930557434,0,27,0,0,0
"54","S","Noche","07 45-60",578,6.72093023255814,30.4169655302047,0,0.5,0,0,0
"55","S","Noche","08 0-15",696,9.28,28.9951347270165,0,28.8000000000002,0,0,0
"56","S","Noche","08 15-30",699,9.32,31.4166249671145,0,25.4,0,0,0
"57","S","Noche","08 30-45",683,11.3833333333333,53.4139865091743,0,9.90000000000003,0,0,0
